_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900129;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-215-080;29000096;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE1479WBLANC;ACOVA;1;911,06;602,17
900130;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSX-050-050;29001834;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE500W;ACOVA;1;554,57;358,22
900131;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSX-075-050;29001835;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE750W;ACOVA;1;638,93;412,71
900132;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSX-100-050;29001836;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE1000W;ACOVA;1;747,56;482,87
900133;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-185-080;29001832;RADIATEURSECHE-SERVIETTESREGATEMIXTE1307/1500WBLANC;ACOVA;1;1264,29;835,64
900134;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-074-050;29001828;RADIATEURSECHE-SERVIETTESREGATEMIXTE377/300WBLANC;ACOVA;1;698,50;461,68
900135;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-126-050;29001829;RADIATEURSECHE-SERVIETTESREGATEMIXTE583/600WBLANC;ACOVA;1;815,18;538,80
900136;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-148-050;29001830;RADIATEURSECHE-SERVIETTESREGATEMIXTE691/900WBLANC;ACOVA;1;932,69;616,47
900137;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-185-060;29001831;RADIATEURSECHE-SERVIETTESREGATEMIXTE980/1200WBLANC;ACOVA;1;1108,43;732,62
900138;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;ASX-215-080;29001833;RADIATEURSECHE-SERVIETTESREGATEMIXTE1479/2000WBLANC;ACOVA;1;1328,24;877,91
900139;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSXP100-050LF;29004207;RADIATEURSECHE-SERVIETTESREGATEPREMIUM1000W;ACOVA;1;747,56;466,65
900140;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSXP125-060LF;29004208;RADIATEURSECHE-SERVIETTESREGATEPREMIUM1250W;ACOVA;1;862,82;538,60
900141;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSXP150-080LF;29004209;RADIATEURSECHE-SERVIETTESREGATEPREMIUM1500W;ACOVA;1;944,93;589,86
